,dataset,model,FEest,SE,DF,pvalue,residual,phi,nobs,N,u95CI,l95CI,AIC,BIC,LL,RMSE
moment_NA_bray.gra.succb,DF2,mm2mcED(dfmm),-25.99739156,4.955054004,89,1.04E-06,91.37505818,-0.03141599,4651,94,-16.28548572,-35.70929741,34772.68993,35094.80263,-17336.34496,10.85840705
moment_NAcwL1D,DF2,mm2mcED(dfmm),0.400380335,0.02804429,4550,2.87E-45,91.37505818,-0.03141599,4651,94,0.455347144,0.345413526,34772.68993,35094.80263,-17336.34496,10.85840705
m_EDL1,DF2,mm2mcED(dfmm),0.16565645,0.058542368,4550,0.004679802,91.37505818,-0.03141599,4651,94,0.280399492,0.050913409,34772.68993,35094.80263,-17336.34496,10.85840705
m_EDcb,DF2,mm2mcED(dfmm),-4.706638668,1.116998097,89,6.01E-05,91.37505818,-0.03141599,4651,94,-2.517322397,-6.895954938,34772.68993,35094.80263,-17336.34496,10.85840705
moment_NA_bray.bal.succw:person_CESD,DF2,mm2mcED(dfmm),-34.15364837,9.749556879,4550,0.000464305,91.37505818,-0.03141599,4651,94,-15.04451689,-53.26277986,34772.68993,35094.80263,-17336.34496,10.85840705
moment_NA_bray.gra.succw:person_CESD,DF2,mm2mcED(dfmm),-25.33545591,8.015541427,4550,0.001583739,91.37505818,-0.03141599,4651,94,-9.624994716,-41.04591711,34772.68993,35094.80263,-17336.34496,10.85840705
(Intercept),DF3,mm1mcED(dfmm),14.97802341,0.487871695,9794,1.06E-197,78.81968031,-0.035386802,10000,201,15.93425193,14.02179489,73212.22529,73399.67072,-36580.11264,10.17936643
moment_NA_bray.bal.succw,DF3,mm1mcED(dfmm),-2.800920146,0.793699635,9794,0.000419138,78.81968031,-0.035386802,10000,201,-1.245268862,-4.35657143,73212.22529,73399.67072,-36580.11264,10.17936643
moment_NA_bray.gra.succw,DF3,mm1mcED(dfmm),-1.800509293,0.811751292,9794,0.026573911,78.81968031,-0.035386802,10000,201,-0.209476761,-3.391541825,73212.22529,73399.67072,-36580.11264,10.17936643
moment_NAcwL1D,DF3,mm1mcED(dfmm),0.381845272,0.020573909,9794,1.34E-75,78.81968031,-0.035386802,10000,201,0.422170133,0.341520411,73212.22529,73399.67072,-36580.11264,10.17936643
